700 (cycle, state) pages to scrape across 14 cycles
  2020 MA: 44 result rows, 15 party-races
  2020 MI: 56 result rows, 28 party-races
  2020 MN: 16 result rows, 6 party-races
  2020 MS: 17 result rows, 7 party-races
  2020 MO: 40 result rows, 16 party-races
  2020 MT (at-large): 8 result rows, 2 party-races
  2020 NE: 14 result rows, 6 party-races
  2020 NV: 40 result rows, 8 party-races
  2020 NH: 12 result rows, 4 party-races
  2020 NJ: 49 result rows, 24 party-races
  2020 NM: 19 result rows, 6 party-races
  2020 NY: 79 result rows, 23 party-races
  2020 NC: 54 result rows, 13 party-races
  2020 ND (at-large): 2 result rows, 1 party-races
  2020 OH: 67 result rows, 32 party-races
  2020 OK: 25 result rows, 6 party-races
  2020 OR: 51 result rows, 10 party-races
  2020 PA: 49 result rows, 36 party-races
  2020 RI: 5 result rows, 3 party-races
  2020 SC: 13 result rows, 5 party-races
  2020 SD (at-large): 2 result rows, 1 party-races
  2020 TN: 47 result rows, 17 party-races
  2020 TX: 263 result rows, 72 party-races
  2020 UT: 10 result rows, 3 party-races
  2020 VT (at-large): 6 result rows, 2 party-races
  2020 VA: 16 result rows, 6 party-races
  2020 WV: 12 result rows, 6 party-races
  2020 WI: 23 result rows, 16 party-races
  2020 WY (at-large): 5 result rows, 2 party-races
  ... 600/700 pages checked, 9190 rows so far, 348 pages had primary data
  2022 AL: 16 result rows, 5 party-races
  2022 AZ: 45 result rows, 17 party-races
  2022 AR: 7 result rows, 3 party-races
  2022 CO: 30 result rows, 16 party-races
  2022 CT: 2 result rows, 1 party-races
  2022 FL: 136 result rows, 38 party-races
  2022 GA: 94 result rows, 28 party-races
  2022 HI: 13 result rows, 4 party-races
  2022 ID: 8 result rows, 4 party-races
  2022 IL: 95 result rows, 32 party-races
  2022 IN: 49 result rows, 18 party-races
  2022 IA: 10 result rows, 8 party-races
  2022 KS: 9 result rows, 8 party-races
  2022 KY: 27 result rows, 8 party-races
  2022 ME: 5 result rows, 4 party-races
  2022 MD: 64 result rows, 16 party-races
  2022 MA: 21 result rows, 18 party-races
  2022 MI: 54 result rows, 26 party-races
  2022 MN: 11 result rows, 5 party-races
  2022 MS: 28 result rows, 7 party-races
  2022 MO: 57 result rows, 16 party-races
  2022 MT: 15 result rows, 4 party-races
  2022 NE: 15 result rows, 6 party-races
  2022 NV: 32 result rows, 7 party-races
  2022 NH: 19 result rows, 4 party-races
  2022 NJ: 56 result rows, 24 party-races
  2022 NM: 8 result rows, 6 party-races
