year,state,office,district,candidate,party_std,pct,end_date,sample_size,pollster,poll_id,election_date,cand_key,display_party,race_id,days_to_elec
2026,FL,Senate,S,Alexander Vindman,DEM,38.0,2026-03-31,1125.0,Emerson College,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,2026-11-03,vindman a,DEM,2026_FL_Senate-S,217
2026,NC,Senate,,Michael Whatley,REP,34.0,2026-03-18,872.0,YouGov,513a5db1-b469-448f-91b9-915ea882aa6d,2026-11-03,whatley m,REP,2026_NC_Senate,230
2026,NC,Senate,,Roy A. Cooper,DEM,48.0,2026-03-18,872.0,YouGov,513a5db1-b469-448f-91b9-915ea882aa6d,2026-11-03,cooper r,DEM,2026_NC_Senate,230
2026,AK,Senate,,Dan Sullivan,REP,47.6,2026-03-22,1340.0,Alaska Survey Research,e8d83b3b-cf66-4eb1-a16d-49e053bc3698,2026-11-03,sullivan d,REP,2026_AK_Senate,226
2026,AK,Senate,,Mary S. Peltola,DEM,52.4,2026-03-22,1340.0,Alaska Survey Research,e8d83b3b-cf66-4eb1-a16d-49e053bc3698,2026-11-03,peltola m,DEM,2026_AK_Senate,226
2026,NC,Senate,,Michael Whatley,REP,41.1,2026-03-23,600.0,Harper Polling,fc1e0141-3430-4588-a4fe-ea86a30bea64,2026-11-03,whatley m,REP,2026_NC_Senate,225
2026,NC,Senate,,Roy A. Cooper,DEM,48.9,2026-03-23,600.0,Harper Polling,fc1e0141-3430-4588-a4fe-ea86a30bea64,2026-11-03,cooper r,DEM,2026_NC_Senate,225
2026,ME,Senate,,Susan M. Collins,REP,42.5,2026-03-23,1075.0,Emerson College,75d5f8bb-0e43-46ea-85f4-64709da26763,2026-11-03,collins s,REP,2026_ME_Senate,225
2026,ME,Senate,,Janet T. Mills,DEM,46.2,2026-03-23,1075.0,Emerson College,75d5f8bb-0e43-46ea-85f4-64709da26763,2026-11-03,mills j,DEM,2026_ME_Senate,225
2026,ME,Senate,,Graham Platner,DEM,47.8,2026-03-23,1075.0,Emerson College,75d5f8bb-0e43-46ea-85f4-64709da26763,2026-11-03,platner g,DEM,2026_ME_Senate,225
2026,NH,Senate,,Scott Brown,REP,39.3,2026-03-23,1100.0,Emerson College,9fc132c3-d608-47c4-b60f-9ecca73edf49,2026-11-03,brown s,REP,2026_NH_Senate,225
2026,NH,Senate,,Chris Pappas,DEM,47.8,2026-03-23,1100.0,Emerson College,9fc132c3-d608-47c4-b60f-9ecca73edf49,2026-11-03,pappas c,DEM,2026_NH_Senate,225
2026,NH,Senate,,John E. Sununu,REP,43.7,2026-03-23,1100.0,Emerson College,9fc132c3-d608-47c4-b60f-9ecca73edf49,2026-11-03,sununu j,REP,2026_NH_Senate,225
2026,NH,Senate,,Chris Pappas,DEM,46.0,2026-03-18,1491.0,St. Anselm,34dd8f45-0aed-4e65-bb57-a284d358ecf6,2026-11-03,pappas c,DEM,2026_NH_Senate,230
2026,NH,Senate,,Scott Brown,REP,38.0,2026-03-18,1491.0,St. Anselm,34dd8f45-0aed-4e65-bb57-a284d358ecf6,2026-11-03,brown s,REP,2026_NH_Senate,230
2026,ID,Senate,,James E. Risch,REP,48.0,2026-03-17,639.0,Public Policy Polling,ce0853bf-4a38-40f5-9911-70dbc617ed6a,2026-11-03,risch j,REP,2026_ID_Senate,231
2026,ID,Senate,,Todd Achilles,OTH,34.0,2026-03-17,639.0,Public Policy Polling,ce0853bf-4a38-40f5-9911-70dbc617ed6a,2026-11-03,achilles t,OTH,2026_ID_Senate,231
2026,MS,Senate,,Cindy Hyde-Smith,REP,38.0,2025-06-22,500.0,Impact Research,803968fc-40bf-4a44-936f-7fc711b46df3,2026-11-03,hydesmith c,REP,2026_MS_Senate,499
2026,TX,Senate,,Ken Paxton,REP,43.0,2026-03-17,900.0,Impact Research,9495e1a8-06aa-4f93-a43e-8fb527866254,2026-11-03,paxton k,REP,2026_TX_Senate,231
