year,office,state,district,party,candidate,cand_key,is_winner,status,office_level,source
2008,House,GA,8,REP,Richard N. Goddard,goddard r,False,pending,,
2008,House,IA,4,REP,Tom Latham,latham t,True,pending,,
2008,House,ID,1,REP,William T. Sali,sali w,False,pending,,
2008,House,IN,7,REP,Jonathan R. Elrod,elrod j,False,pending,,
2008,House,KY,2,DEM,David E. Boswell,boswell d,False,pending,,
2008,House,KY,2,REP,S. Brett Guthrie,guthrie s,True,pending,,
2008,House,KY,3,DEM,John Yarmuth,yarmuth j,True,pending,,
2008,House,KY,3,REP,Anne Meagher Northup,northup a,False,pending,,
2008,House,KY,4,DEM,Michael Kelley,kelley m,False,pending,,
2008,House,KY,4,REP,Geoff Davis,davis g,True,pending,,
2008,House,LA,1,REP,Steve Scalise,scalise s,True,pending,,
2008,House,LA,6,DEM,Donald J. Cazayoux,cazayoux d,False,pending,,
2008,House,LA,6,REP,Woody Jenkins,jenkins w,False,pending,,
2008,House,LA,6,REP,Bill Cassidy,cassidy b,True,pending,,
2008,House,MD,1,DEM,Frank M. Kratovil,kratovil f,True,pending,,
2008,House,ME,2,DEM,Michael H. Michaud,michaud m,True,pending,,
2008,House,MI,7,REP,Tim Walberg,walberg t,False,pending,,
2008,House,MI,9,REP,Joseph K. Knollenberg,knollenberg j,False,pending,,
2008,House,MN,3,DEM,Ashwin Madia,madia a,False,pending,,
2008,House,MO,6,REP,Sam Graves,graves s,True,pending,,
2008,House,MS,1,DEM,Travis W. Childers,childers t,True,pending,,
2008,Senate,MS,S,REP,Roger F. Wicker,wicker r,True,pending,,
2008,Senate,MS,S,OTH,Ronnie Musgrove,musgrove r,False,pending,,
2008,House,NE,2,REP,Lee Terry,terry l,True,pending,,
2008,House,NJ,2,DEM,David Kurkowski,kurkowski d,False,pending,,
2008,House,NY,25,DEM,Daniel B. Maffei,maffei d,True,pending,,
2008,House,NY,25,REP,Dale A. Sweetland,sweetland d,False,pending,,
2008,House,NY,26,DEM,Alice Kryzan,kryzan a,False,pending,,
2008,House,NY,26,REP,Christopher John Lee,lee c,True,pending,,
2008,House,NY,29,DEM,Eric J. Massa,massa e,True,pending,,
2008,House,NY,29,REP,John R. Kuhl,kuhl j,False,pending,,
2008,House,PA,12,REP,William Russell,russell w,False,pending,,
2008,Senate,RI,,REP,Robert G. Tingle,tingle r,False,pending,,
2008,House,SC,1,REP,Henry E. Brown,brown h,True,pending,,
2008,Senate,TN,,DEM,Robert D. Tuke,tuke r,False,pending,,
2008,House,UT,1,REP,Rob Bishop,bishop r,True,pending,,
2008,House,UT,2,DEM,Jim Matheson,matheson j,True,pending,,
2008,House,WI,8,DEM,Steven L. Kagen,kagen s,True,pending,,
2008,Senate,WY,S,DEM,Nicholas H. Carter,carter n,False,pending,,
2008,Senate,WY,S,REP,John Barrasso,barrasso j,True,pending,,
2010,House,AL,2,DEM,Bobby N. Bright,bright b,False,pending,,
2010,House,AZ,7,REP,Ruth McClung,mcclung r,False,pending,,
2010,House,AZ,8,REP,Jesse Kelly,kelly j,False,pending,,
2010,House,CA,11,DEM,Jerry McNerney,mcnerney j,True,pending,,
2010,House,CA,15,DEM,Michael M. Honda,honda m,True,pending,,
2010,House,CA,18,DEM,Dennis A. Cardoza,cardoza d,True,pending,,
2010,House,CA,20,DEM,Jim Costa,costa j,True,pending,,
2010,House,CA,3,REP,Dan Lungren,lungren d,True,pending,,
2010,House,CA,44,DEM,William E. Hedrick,hedrick w,False,pending,,
2010,House,CA,44,REP,Ken Calvert,calvert k,True,pending,,
2010,House,CA,47,DEM,Loretta Sanchez,sanchez l,True,pending,,
2010,House,CO,7,REP,Ryan Frazier,frazier r,False,pending,,
2010,House,CT,3,REP,Gerald Labriola,labriola g,False,pending,,
2010,Senate,DE,S,DEM,Christopher A. Coons,coons c,True,pending,,
2010,Senate,DE,S,REP,Christine O'Donnell,donnell c,False,pending,,
2010,House,FL,22,DEM,Ron Klein,klein r,False,pending,,
2010,House,FL,24,DEM,Suzanne M. Kosmas,kosmas s,False,pending,,
2010,House,IA,2,DEM,Dave Loebsack,loebsack d,True,pending,,
2010,House,IA,3,DEM,Leonard L. Boswell,boswell l,True,pending,,
2010,Governor,ID,,REP,C.L. 'Butch' Otter,otter c,True,pending,,
2010,Governor,IL,,REP,William E. Brady,brady w,False,pending,,
2010,House,IL,17,REP,Robert Schilling,schilling r,True,pending,,
2010,House,IN,8,DEM,William Trent Van Haaften,haaften w,False,pending,,
