year,state,office,district,party_std,candidate,cand_key,pct,pollster,sample_size,population,end_date,election_date,race_id,won
2018,FL,Governor,,REP,Jack Latvala,latvala j,2.0,Gravis Marketing,,,12/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,23.0,Gravis Marketing,,,12/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,1.0,Gravis Marketing,,,12/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,5.0,Saint Leo University,166.0,,11/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,15.0,Saint Leo University,166.0,,11/24/17,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,4.0,Saint Leo University,166.0,,11/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,10.0,Saint Leo University,166.0,,11/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,63.0,Saint Leo University,166.0,,11/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,1.0,Cherry Communications,256.0,,9/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,9.0,Cherry Communications,256.0,,9/24/17,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,26.0,Cherry Communications,256.0,,9/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,3.0,Cherry Communications,256.0,,9/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,4.0,Saint Leo University,173.0,,9/16/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,7.000000000000001,Saint Leo University,173.0,,9/16/17,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,20.0,Saint Leo University,173.0,,9/16/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,2.0,Saint Leo University,173.0,,9/16/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,11.0,Saint Leo University,173.0,,9/16/17,2018-08-28,2018_FL_Governor_REP,0
